subscriberCount,channelViewCount,totalviews/channelelapsedtime,likes/views,totvideos/videocount,videoCount,videoLikeCount,channelCommentCount,comments/views,dislikes/views,videoDislikeCount,videoCategoryId,likes/dislikes,channelDays
2,1596,0.0544189852700491,0.001314060446780552,319.2,5,2,0,0.000657030223390276,0.0032851511169513796,5,24,-2.0,1222.0
82422,36464853,1254.6398637489679,0.0022847742643026868,115031.08201892744,317,25,0,0.0004569548528605374,0.0003655638822884299,4,27,-2.0,1211.0
89010,46262501,1658.867649168101,0.004288164665523156,39106.08706677937,1183,10,0,0.0,0.002572898799313894,6,1,-2.0,1162.0
1608,253667,8.76406163626313,0.02287581699346405,3056.2289156626507,83,42,0,0.007080610021786492,0.004357298474945534,8,20,-2.0,1206.0
14228,12384469,498.56960547504025,0.001610056383109007,309611.725,40,2327,0,5.120076164592459e-05,0.00014322375217170797,207,10,11.241545893719806,1035.0
23458,4971880,193.42826019296606,0.002383266231662733,28089.717514124295,177,103,0,0.0010412328196584756,2.313850710352168e-05,1,24,-2.0,1071.0
34228,4196610,146.5706202849958,0.016812020594725228,4371.46875,960,160,0,0.005463906693285699,0.00021015025743406537,2,24,-2.0,1193.0
33,22712,0.874614910659273,0.003341288782816229,987.4782608695652,23,7,0,0.003341288782816229,0.0,0,17,-2.0,1082.0
259,10865,0.4482260726072607,0.009314140558848433,127.82352941176471,85,11,0,0.003386960203217612,0.029635901778154106,35,22,-2.0,1010.0
3029,1182402,39.193914081145586,0.009819292020793794,23648.04,50,119,0,0.0021453915339549466,8.251505899826719e-05,1,17,-2.0,1257.0
349,113241,5.435915898617512,0.003961902762836827,56620.5,2,151,0,0.00018366436648912444,0.00026237766641303494,10,22,-2.0,868.0
2028,433571,15.374858156028369,0.003493384866954066,11117.205128205129,39,141,0,0.003889797334126158,0.001734304543877905,70,22,-2.0,1175.0
20902,7378479,310.228683148335,0.0020506210452308415,9411.325255102041,784,35,0,0.0,0.0003515350363252871,6,24,-2.0,991.0
123,5367,0.267494019138756,0.008658008658008658,536.7,10,22,0,0.0003935458480913026,0.0011806375442739079,3,2,-2.0,836.0
140,39062,1.4662912912912913,0.0043859649122807015,1627.5833333333333,24,39,0,0.001349527665317139,0.0007872244714349977,7,27,-2.0,1110.0
27,31904,1.0887250887250888,0.001554629687208507,1181.6296296296296,27,25,0,0.00012437037497668054,0.0002487407499533611,4,22,-2.0,1221.0
107,8879,0.3574476650563607,0.007153428712382831,4439.5,2,58,0,0.009126788357178096,0.003453379378391712,28,22,-2.0,1035.0
4602,95712,4.828087167070218,0.03313185583165435,1051.7802197802198,91,148,0,0.010521602865457802,0.000671591672263264,3,24,-2.0,826.0
620,219160,9.159144098963557,0.003905160390516039,10958.0,20,14,0,0.0002789400278940028,0.0016736401673640166,6,24,-2.0,997.0
41,139857,5.198371989295272,0.004847950639048039,1553.9666666666667,90,11,0,0.0,0.0,0,10,-2.0,1121.0
36,20292,0.7057595993322203,0.011135346114108598,3382.0,6,194,0,0.0008035816783377339,0.0005739869130983814,10,10,-2.0,1198.0
201,7801,0.29125597371565115,0.021014492753623187,1950.25,4,29,0,0.004347826086956522,0.004347826086956522,6,22,-2.0,1116.0
304,16215,0.6204086317722681,0.011649294911097487,900.8333333333334,18,19,0,0.004291845493562232,0.0018393623543838135,3,20,-2.0,1089.0
186,6600,0.2696078431372549,0.0,388.2352941176471,17,0,0,0.0,0.0,0,22,-2.0,1020.0
15926,2699498,119.91373489694385,0.008452535760728219,16068.440476190477,168,52,0,0.0,0.00032509752925877764,2,17,-2.0,938.0
4146,909368,39.63423988842399,0.0051928783382789315,5317.941520467836,171,14,0,0.001483679525222552,0.001112759643916914,3,20,-2.0,956.0
1997,205300,6.9659337676438655,0.005264616237184816,1103.763440860215,186,19,0,0.0,0.0002770850651149903,1,26,-2.0,1228.0
0,127668,4.593696027633851,0.002058083695403613,3191.7,40,9,0,0.000228675966155957,0.000457351932311914,2,22,-2.0,1158.0
2307,413945,13.699530050304475,0.01523109243697479,9855.833333333334,42,29,0,0.01995798319327731,0.0005252100840336134,1,20,-2.0,1259.0
257,243745,8.570499296765119,0.01383399209486166,4974.3877551020405,49,28,0,0.0004940711462450593,0.0009881422924901185,2,10,-2.0,1185.0
64,20353,0.8396452145214521,0.002054794520547945,969.1904761904761,21,3,0,-1.0,0.00410958904109589,6,24,-2.0,1010.0
23066,5156366,179.48920913394596,0.014511771516788884,41583.596774193546,124,188,0,0.003705133153222694,0.00030876109610189115,4,24,-2.0,1197.0
159579,101025660,3309.2786949685533,0.003701114703349103,495223.82352941175,204,593,0,8.113742182721474e-05,0.00017475752393553945,28,10,-2.0,1272.0
46,33719,1.238940329218107,0.0018136160714285715,301.0625,112,13,0,0.00027901785714285713,0.0008370535714285714,6,24,-2.0,1134.0
6765,661564,25.834270540456107,0.028314917127071824,28763.652173913044,23,82,0,0.003798342541436464,0.0013812154696132596,4,26,-2.0,1067.0
5865,870525,30.583368465430016,0.006593665371482397,4185.216346153846,208,56,0,0.0016484163428705993,0.001295184269398328,11,20,-2.0,1186.0
6566,560981,22.826375325520832,0.03857008466603951,9048.08064516129,62,246,0,0.006898714330511132,0.00031357792411414236,2,24,-2.0,1024.0
481,668948,23.03539944903581,0.004133545310015898,30406.727272727272,22,65,0,0.0,0.0,0,22,-2.0,1210.0
458,47291,1.583969721329046,0.03328611898016997,2251.9523809523807,21,141,0,0.0056657223796034,0.0035410764872521247,15,20,-2.0,1244.0
