channelViewCount,totalviews/channelelapsedtime,likes/views,totvideos/videocount,videoCount,videoLikeCount,channelCommentCount,comments/views,dislikes/views,videoDislikeCount,videoCategoryId,likes/dislikes,channelDays
251770,4.494608683233363,0.013198573127229487,4417.017543859649,57,111,7,0.0027348394768133173,0.000713436385255648,6,10,-2.0,2334.0
13256209,287.5283923303835,0.0006861465758790785,40663.217791411036,326,1100,2,3.11884807217763e-05,0.00047905506388648387,768,1,1.4322916666666667,1921.0
98321,2.1825830225537204,0.001956585942114589,8938.272727272728,11,53,0,0.00029533372711163615,0.0018827525103366804,51,26,-2.0,1877.0
47743,0.9125191131498472,0.0016999575010624734,2652.3888888888887,18,8,2,0.004462388440288993,0.0006374840628984277,3,22,-2.0,2180.0
170759,3.7805304640453414,0.008543497905200034,1237.3840579710145,138,104,2,0.0005750431282346176,0.0004928941099153865,6,20,-2.0,1882.0
1742543,33.80165657976412,0.006586301700957733,11099.0,157,436,104,0.0009365841868334393,0.0002870177346747636,19,10,-2.0,2148.0
9952,0.1944965603502189,0.0017331022530329286,622.0,16,3,432,0.0005777007510109763,0.0005777007510109763,1,20,-2.0,2132.0
22031927,401.0471639726227,0.015138197922977803,132722.4518072289,166,1774,198,0.0013226723100685232,0.0001365339158780411,16,27,110.875,2289.0
333148,6.660828534868842,0.0023948510701990717,2948.212389380531,113,16,0,0.00029935638377488397,0.00029935638377488397,2,10,-2.0,2084.0
69260,1.5156687675070029,0.01240409489906472,34630.0,2,561,2,0.0015256373405266766,0.0016361907709996242,74,24,-2.0,1904.0
31211,0.6279373893449219,0.0010275145564562164,1248.44,25,9,2,0.0,0.00011416828405069072,1,1,-2.0,2071.0
2763,0.05513649425287357,0.0014487504527345165,2763.0,1,4,0,0.0,0.0,0,10,-2.0,2088.0
136340,2.7220092636958952,0.00223463687150838,600.6167400881058,227,8,5,0.00027932960893854746,0.0,0,20,-2.0,2087.0
1070829,20.99664705882353,0.005425935973955507,10708.29,100,130,297,0.002045160482490922,0.0005843315664259777,14,1,-2.0,2125.0
1207926,24.599340175953078,0.008845829823083403,6863.215909090909,176,21,21,0.00042122999157540015,0.0008424599831508003,2,17,-2.0,2046.0
719414,13.631461270274364,0.000646126640821601,873.0752427184467,824,19,0,0.001360266612256002,0.0032646398694144052,96,28,-2.0,2199.0
634286,12.78596194162232,0.03213957759412305,3109.245098039216,204,35,38,0.004591368227731864,0.0027548209366391185,3,26,-2.0,2067.0
3012695,63.175117429961425,0.0051440329218107,12197.145748987854,247,35,11,0.0007348618459729571,0.00014697236919459142,1,17,-2.0,1987.0
2331,0.050930781331934974,0.0063335679099225895,582.75,4,9,0,0.0014074595355383533,0.0,0,22,-2.0,1907.0
178443,3.2826158940397345,0.0017910447761194032,2051.0689655172414,87,12,0,0.001044776119402985,0.00014925373134328356,1,24,-2.0,2265.0
20478,0.3903247941445563,0.0,975.1428571428572,21,0,0,0.0,0.0,0,22,-2.0,2186.0
34944,0.6433937251436147,0.0031578342998220127,34944.0,1,110,0,0.00045932135270138367,5.741516908767297e-05,2,24,-2.0,2263.0
26354,0.5631196581196581,0.0029205607476635517,411.78125,64,20,5,0.0008761682242990653,0.0020443925233644853,14,26,-2.0,1950.0
8294,0.1798040235865418,0.002808988764044944,93.19101123595507,89,6,0,0.0,0.00046816479400749053,1,17,-2.0,1922.0
80653,1.676916999334664,0.002571462743690946,5376.866666666667,15,43,0,0.000299007295778017,0.0002392058366224136,4,17,-2.0,2004.0
189434,4.3037531806615785,0.0015337423312883436,1787.1132075471698,106,2,0,0.0015337423312883436,0.0007668711656441718,1,22,-2.0,1834.0
80527,1.615450970951693,0.0008172955301718268,5751.928571428572,14,42,0,9.729708692521746e-05,0.0009145926170970439,47,10,-2.0,2077.0
5405,0.11953733191790515,0.0026638252530633987,337.8125,16,5,0,0.0015982951518380393,0.0037293553542887595,7,20,-2.0,1884.0
8074,0.15011899449650454,0.003745318352059925,1009.25,8,4,0,0.0009363295880149813,0.0009363295880149813,1,26,-2.0,2241.0
2180533,48.8996456763545,0.005970998009667329,15916.299270072994,137,21,0,0.0005686664771111743,0.0,0,10,-2.0,1858.0
55703,0.999551392477749,0.023456111416529233,3094.6111111111113,18,128,1,0.04269745281290086,0.0005497526113249038,3,27,-2.0,2322.0
4060,0.08239974021756777,0.0017241379310344827,4060.0,1,7,0,0.0,0.0002463054187192118,1,22,-2.0,2053.0
202355,3.95101140268666,0.002035023831200129,1272.6729559748426,159,38,0,0.00048197932844213563,0.00016065977614737858,3,17,-2.0,2134.0
70956,1.6138100436681222,0.002455278849526482,2628.0,27,7,0,0.0,0.0,0,15,-2.0,1832.0
132553,2.6514842374779963,0.0011766891682665512,3398.794871794872,39,19,0,0.00018579302656840282,0.0005573790797052084,9,24,-2.0,2083.0
177885,3.884630503144654,0.0024610336341263327,7411.875,24,9,0,0.0,0.00027344818156959256,1,17,-2.0,1908.0
39038,0.6951210826210826,0.002824033498880125,9759.5,4,29,0,0.00019476093095725,9.738046547862497e-05,1,24,-2.0,2340.0
452075,10.132575757575758,0.007326007326007327,4185.87962962963,108,14,2,0.0010465724751439038,0.0,0,22,-2.0,1859.0
238345,4.23318059107701,0.010848126232741616,8512.32142857143,28,22,7,0.0,0.0,0,17,-2.0,2346.0
4217928,88.13791374122368,0.0008869179600886918,15227.17689530686,277,2,0,0.0004434589800443459,0.0,0,28,-2.0,1994.0
22317875,395.7070035460993,0.006252592853508669,250762.64044943824,89,3994,39,0.0003929396109741302,0.0001800320926773903,115,23,34.7304347826087,2350.0
71241,1.3579025617566332,0.0029353108058762394,71241.0,1,209,0,0.0010112075503497092,0.00026684643689783995,19,22,-2.0,2186.0
5611,0.10090274780607107,0.002569593147751606,1402.75,4,6,0,0.0,0.0004282655246252677,1,2,-2.0,2317.0
7592,0.15952260884182215,0.012903225806451613,2530.6666666666665,3,24,1,0.004301075268817204,0.001075268817204301,2,20,-2.0,1983.0
91077,1.7163613749434643,0.0017366979427705575,22769.25,4,149,1,0.0003380150358412495,0.0007809312897021971,67,28,-2.0,2211.0
143871,2.5739051094890506,0.0010349045065387147,3689.0,39,11,1,0.0002822466836014677,9.408222786715589e-05,1,17,-2.0,2329.0
106332,2.0184510250569474,0.004940982706560527,3938.222222222222,27,54,0,0.0001829993595022417,9.149967975112087e-05,1,22,-2.0,2195.0
339012,6.807469879518073,0.0020376974019358125,84753.0,4,4,0,0.0010188487009679065,0.0010188487009679065,2,2,-2.0,2075.0
15830,0.2823558789954338,0.0,336.8085106382979,47,0,1,0.0007047216349541931,0.0,0,24,-2.0,2336.0
