channelViewCount,totalviews/channelelapsedtime,likes/views,totvideos/videocount,videoCount,videoLikeCount,channelCommentCount,comments/views,dislikes/views,videoDislikeCount,videoCategoryId,likes/dislikes,channelDays
7396777,120.39025065104168,0.007830342577487766,17997.024330900244,411,72,3,0.003153887982599239,0.011528004350190321,106,26,-2.0,2560.0
800875,12.442129629629632,0.01160541586073501,3056.7748091603053,262,18,8,0.0,0.0,0,10,-2.0,2682.0
6656927,111.34964204469424,0.001270313395609673,7014.675447839832,949,82,259,0.0005886818174776535,0.00010844138743009404,7,25,-2.0,2491.0
44113,0.7319958847736625,0.007060900264783759,848.3269230769231,52,8,1,0.0017652250661959398,0.0017652250661959398,2,17,-2.0,2511.0
50756,0.8639025054466231,0.002379394444113973,50756.0,1,120,1,0.0018638589812226122,0.0008922729165427399,45,28,-2.0,2448.0
3108,0.04643241305127286,0.01171875,207.2,15,18,1,0.006510416666666667,0.0,0,24,-2.0,2789.0
37729,0.5205435982339955,0.0037274798094843646,2902.230769230769,13,36,2,0.0015531165872851524,0.0,0,10,-2.0,3020.0
49989,0.6945231743914638,0.0,4998.9,10,0,0,0.0,0.0008703220191470844,1,10,-2.0,2999.0
38104,0.5315254993862292,0.0013736263736263735,214.0674157303371,178,2,7,0.0,0.0,0,26,-2.0,2987.0
90708,1.4968316831683168,0.002597402597402597,6047.2,15,19,0,0.00013670539986329462,0.00013670539986329462,1,10,-2.0,2525.0
3878236,52.43126757516764,-1.0,9367.719806763283,414,-1,5444,0.002617801047120419,-1.0,-1,17,-2.0,3082.0
33374,0.5782051282051283,0.004693090469773709,1668.7,20,101,0,0.00027879745364992335,0.00037172993819989777,8,10,-2.0,2405.0
6139072,104.57672390297085,0.008556062164499506,8658.775740479548,709,1672,0,0.0018831524381195087,0.00021492500652450916,42,20,39.80952380952381,2446.0
148842,2.3779716257668717,0.0004188189306156639,2067.25,72,3,2,0.00013960631020522128,0.00013960631020522128,1,19,-2.0,2608.0
