channelViewCount,totalviews/channelelapsedtime,likes/views,totvideos/videocount,videoCount,videoLikeCount,channelCommentCount,comments/views,dislikes/views,videoDislikeCount,videoCategoryId,likes/dislikes,channelDays
42328,1.9661835748792271,0.007861333742378341,10582.0,4,205,0,0.0018407025348007825,0.0005752195421252445,15,22,-2.0,897.0
2676,0.10669856459330143,0.06748466257668713,297.3333333333333,9,143,0,0.0018876828692779614,0.0018876828692779614,4,27,-2.0,1045.0
16826,0.8190225856697819,0.00519774011299435,2403.714285714286,7,23,0,0.00022598870056497172,0.002937853107344633,13,10,-2.0,856.0
10145,0.4197699437272425,0.0046332807570977925,10145.0,1,47,0,0.002267350157728707,0.002365930599369085,24,22,-2.0,1007.0
30531,1.3737850971922243,0.003053435114503817,2348.538461538461,13,6,0,0.0,0.0005089058524173028,1,22,-2.0,926.0
12887,0.5348190571049137,0.001941747572815534,758.0588235294118,17,4,0,0.0,0.000970873786407767,2,22,-2.0,1004.0
43166,1.7685185185185186,0.014342629482071713,685.1746031746031,63,18,0,0.0,0.0015936254980079682,2,22,-2.0,1017.0
653222,23.6880620829707,0.0030234315948601664,27217.58333333333,24,84,0,0.00017996616636072418,0.00010797969981643452,3,2,-2.0,1149.0
9639374,382.8794884016524,0.0011870076615949064,73583.00763358777,131,11,0,0.0003237293622531564,0.0004316391496708751,4,27,-2.0,1049.0
9897,0.3776327838827839,0.015068493150684932,659.8,15,33,0,0.0013698630136986301,0.00365296803652968,8,23,-2.0,1092.0
16581,0.6108532272325375,0.02875497093912512,2072.625,8,94,0,0.0015295197308045276,0.0018354236769654328,6,22,-2.0,1131.0
4328278,152.31834177927928,0.016334709740102017,8453.66796875,512,538,0,0.0068010687393733294,0.00018217148409035703,6,20,-2.0,1184.0
23156555,874.7565352070112,0.008392077878482713,62585.28378378379,370,25,0,0.0,0.0,0,20,-2.0,1103.0
6116634,265.47890625,0.0010462002008704383,305831.7,20,25,0,0.002510880482089053,0.0039755607633076675,95,25,-2.0,960.0
5467286,217.162615189069,0.01227415553809898,9112.143333333332,600,125,0,0.0014728986645718776,0.003043990573448547,31,22,-2.0,1049.0
1131968,42.52960625187857,0.004376827042653875,33293.17647058824,34,271,0,6.460261317570295e-05,0.00022610914611496035,14,10,-2.0,1109.0
192067,7.40313752698119,0.003785406604881869,4924.794871794872,39,29,0,0.000783187573423835,0.0005221250489492234,4,20,-2.0,1081.0
71243,3.069760427438814,0.003608065086664308,71243.0,1,255,0,0.0020516448532012736,0.00031128404669260697,22,20,-2.0,967.0
167358,6.100831146106738,0.013113525665043087,2091.975,80,35,0,0.0018733608092918691,0.00037467216185837387,1,22,-2.0,1143.0
36322,1.3322329812206573,0.006345565749235474,7264.4,5,83,0,0.008027522935779817,7.64525993883792e-05,1,22,-2.0,1136.0
313795,10.832470312068489,0.0006243128415074116,3448.296703296703,91,113,0,3.86742468190432e-05,0.0002486201581224205,45,24,-2.0,1207.0
52764,2.126208897485493,0.006471328419917311,5276.4,10,36,0,0.0003595182455509617,0.0,0,22,-2.0,1034.0
33687,1.1069597791798107,0.001811787274858787,1052.71875,32,17,0,0.0005328786102525843,0.008312906319940317,78,22,-2.0,1268.0
461694,15.729558462796405,0.023665382498624103,2903.735849056604,159,43,0,0.002201430930104568,0.0,0,23,-2.0,1223.0
12370,0.5554058908045977,0.0046044370029300966,169.45205479452054,73,11,0,0.0,0.0,0,22,-2.0,928.0
67014,3.0251895991332614,0.01195589919816724,3942.0,17,167,0,0.0005011454753722795,0.0002147766323024055,3,22,-2.0,923.0
